ENTIDAD,ANIO,DIABETES_INGRESOS_MUJER_20_A_59,DIABETES_INGRESOS_MUJER_60_MAS,DIABETES_INGRESOS_HOMBRE_20_A_59,DIABETES_INGRESOS_HOMBRE_60_MAS,DIABETES_TRATAMIENTO_MUJER_20_A_59,DIABETES_TRATAMIENTO_MUJER_60_MAS,DIABETES_TRATAMIENTO_HOMBRE_20_A_59,DIABETES_TRATAMIENTO_HOMBRE_60_MAS,DIABETES_CONTROLADOS_MUJER_20_A_59,DIABETES_CONTROLADOS_MUJER_60_MAS,DIABETES_CONTROLADOS_HOMBRE_20_A_59,DIABETES_CONTROLADOS_HOMBRE_60_MAS,OBESIDAD_INGRESOS_MUJER_20_A_59,OBESIDAD_INGRESOS_MUJER_60_MAS,OBESIDAD_INGRESOS_HOMBRE_20_A_59,OBESIDAD_INGRESOS_HOMBRE_60_MAS,OBESIDAD_TRATAMIENTO_MUJER_20_A_59,OBESIDAD_TRATAMIENTO_MUJER_60_MAS,OBESIDAD_TRATAMIENTO_HOMBRE_20_A_59,OBESIDAD_TRATAMIENTO_HOMBRE_60_MAS,OBESIDAD_CONTROLADOS_MUJER_20_A_59,OBESIDAD_CONTROLADOS_MUJER_60_MAS,OBESIDAD_CONTROLADOS_HOMBRE_20_A_59,OBESIDAD_CONTROLADOS_HOMBRE_60_MAS
AGUASCALIENTES,2017,431,146,167,95,37240,22623,12397,9562,13068,10144,4311,4061,404,96,123,96,34405,16209,7877,16209,6399,3960,1338,1087
"BAJA CALIFORNIA",2017,1065,528,602,343,43432,27139,18454,15319,11480,8279,4850,4935,854,334,352,334,38647,18504,11618,18504,6685,4386,1736,1684
"BAJA CALIFORNIA SUR",2017,693,186,398,152,22203,9468,9728,5734,4941,2401,1943,1615,826,154,347,154,22738,8384,7202,8384,3816,2159,1013,696
CAMPECHE,2017,414,155,215,82,39443,21864,11320,9095,8864,6646,3321,3213,462,123,165,123,36512,16002,8995,16002,8878,5063,2121,1910
CHIAPAS,2017,969,342,346,160,90884,43629,21670,16233,17575,11592,4795,4866,603,147,157,147,45283,15847,8327,15847,9506,4268,1674,1424
CHIHUAHUA,2017,1530,699,794,449,79136,53614,30160,27086,15788,12946,6119,6500,1523,464,557,464,78080,40017,20811,40017,12863,9125,2777,3218
COAHUILA,2017,101,41,27,15,13430,7856,3498,2931,4829,3402,1170,1354,73,26,24,26,10658,4997,1920,4997,2144,1464,324,443
COLIMA,2017,492,235,310,169,27276,20129,10583,10492,7481,6511,2602,3564,453,220,198,220,25407,15621,7224,15621,5615,4128,1430,1562
"DISTRITO FEDERAL",2017,3254,2133,2523,1403,113922,104674,52540,45623,40654,44280,18668,19335,3415,1403,1440,1403,77087,54702,24626,54702,13575,13033,4128,3631
DURANGO,2017,274,152,107,79,18822,12861,6187,6357,5988,4907,2248,2515,330,121,99,121,20430,10797,5043,10797,4373,2858,1056,1053
GUANAJUATO,2017,2508,1065,1235,682,324517,245222,113101,111620,107520,103819,40639,49398,2344,798,823,798,332020,216780,85288,216780,74831,66132,19430,20031
GUERRERO,2017,1475,592,679,405,137579,80280,40706,32255,32755,25824,11491,11316,1200,289,381,289,98066,35033,20623,35033,21059,9350,4612,3477
HIDALGO,2017,305,125,160,103,40798,29787,12529,11411,12726,11904,4129,4516,287,91,80,91,23205,12732,4929,12732,6121,4408,1309,1247
JALISCO,2017,30,8,13,9,2314,1906,797,870,862,822,310,389,44,10,18,10,2221,1513,525,1513,442,395,109,131
